created_at,user_name,user_id,bear_bull_tag,text
2022-07-16T23:57:09Z,STOCKMOVED,3966421,Bearish,"$ETH.X 
The ship 🚢 is waiting you guys to invite all of you to move forward to islands 😂😂"
2022-07-16T23:54:07Z,John88888888,6730405,Bullish,"$ETH.X once 20 countries hop on, what&#39;s it going to do to the price of eth? inputs below"
2022-07-16T23:52:09Z,CriticalThinking4Dummies,5950734,Bullish,"$ETH.X 

Some sell below $1000 for panic and some loaded up @1000$

Hope you are the second one"
2022-07-16T23:51:54Z,Chief_Trading,3980878,Bullish,$ETH.X so does this still have a chance to go under 1k? Realistic replies only
2022-07-16T23:51:53Z,bigsleepy,1397747,Bullish,$ETH.X LOVE YOU BB❤🧡
2022-07-16T23:51:43Z,Andrewfritzen01,3329758,Bullish,$ETH.X reaction .
2022-07-16T23:47:00Z,Shutking,5728136,Bullish,$ETH.X I LOVE YOU BABY ❤️❤️❤️❤️
2022-07-16T23:46:02Z,GlobalistShill,6026017,Bearish,"$ETH.X Cope Rally. Crypto is dead. Ya stacking worthless coins, no overall use in the economy. Only good for trading in and out. Will be trading it down to zero."
2022-07-16T23:42:59Z,Dogecointothemoon69,5304483,NIL,$ETC.X is the original $ETH.X
2022-07-16T23:42:24Z,XXIIJMP,1385516,NIL,$ETH.X  absolutely
2022-07-16T23:42:14Z,Billionaireclubcollc,1505519,NIL,Andorra green lights Bitcoin and Blockchain with Digital Assets Act https://www.billionaireclubcollc.com/andorra-green-lights-bitcoin-and-blockchain-with-digital-assets-act/  $BTC.X $ETH.X $DOGE.X $SHIB.X
2022-07-16T23:41:58Z,XXIIJMP,1385516,NIL,$ETH.X 2000 soon!!!!
2022-07-16T23:40:27Z,TruthFinders1,6367478,Bullish,$ETH.X This was an easy play the past few weeks! Add on every red day and reap the future benefits.
2022-07-16T23:38:57Z,Jnb410,5982177,NIL,$ETH.X why the pump
2022-07-16T23:33:44Z,PeaceOnEarth1,3569813,Bullish,"$ETH.X proof of stake eth 2.0 will take price to 3 to 4k, best believe that!!"
2022-07-16T23:30:25Z,John88888888,6730405,Bullish,$ETH.X any drop is being picked up
2022-07-16T23:30:08Z,Options_Snipper,6728644,NIL,"$SPY $BTC.X $ETH.X RARI 
 
See what is going on? Pulled back tho the level and is unable to hold that support level right now. You can still that price action is starting to indicate a move to the downside 
 
Watch closely for sell volume"
2022-07-16T23:27:51Z,Ethman1994,6005288,Bearish,$ETH.X I have spoken
2022-07-16T23:27:37Z,John88888888,6730405,Bullish,"$ETH.X eth 2 will be insanely fast, insanely cheap fees and extreemly reliable and insanely decentralize"
2022-07-16T23:26:24Z,Jeremyspoken,6600779,NIL,$ETH.X $BTC.X i have spoken...
2022-07-16T23:25:36Z,Planetarywisdom,6032407,Bullish,"$ETH.X 

So what happens to all the Level 2’s once the merge takes a place. The reason for level 2 was that Ethereum was very slow with high gas fees. That won’t be the case in Sep. 

So what happens to the Solana, Avalanche, Cardano, Algorand? 

What need would the market have for them. 

Ethereum on steroids is coming!!!!!!"
2022-07-16T23:23:55Z,Bearswin2,4303359,NIL,"$ETH.X Eth simply is garbage, slow and the gas fee is insane."
