created_at,user_name,user_id,bear_bull_tag,text
2022-07-17T02:38:55Z,Stocks_only_,5424780,Bullish,$BTC.X im a bear but bulls will get a run here. 25-27k next imo.
2022-07-17T02:38:00Z,Decrypt,2942766,NIL,"$BTC.X How Much Does It Cost to Mine 1 Bitcoin? 
► https://decrypt.co/?p=105251"
2022-07-17T02:37:13Z,EmptyPockets1,5435029,NIL,$BTC.X Looking Nice….
2022-07-17T02:36:41Z,Stocksiah,1969790,NIL,"$BTC.X if we don&#39;t break 22, we goin sub 18"
2022-07-17T02:36:16Z,SmallCapSniper,3359217,Bullish,"$BTC.X consolidating nicely over 21K, next leg up likely tmrw into futures open"
2022-07-17T02:35:01Z,dreamchasers,3408882,NIL,$ADA.X  burn tax ready binance tweet coming $BTC.X $ETH.X $XRP.X $APE.X
2022-07-17T02:34:32Z,BlueFir,5780667,Bullish,$BTC.X Elevator is going up!
2022-07-17T02:33:49Z,BoJidensTeleprompter,6038387,NIL,$BTC.X shorty getting smoked
2022-07-17T02:33:29Z,Andrewfritzen01,3329758,Bullish,"$BTC.X 
Big shorts have stops at $35,350 
Go get em🍀🐂"
2022-07-17T02:32:56Z,Nate6495,6058297,Bullish,$BTC.X next run starting
2022-07-17T02:31:31Z,Trade_Hub,5816259,NIL,"$BTC.X 4 hour chart at mid channel line finding resistance, up 2k since the buy signal 4 days ago

This post is originated from our Discord"
2022-07-17T02:30:42Z,StockTraderCapital,1037324,Bearish,$SPY $BTC.X christ  I&#39;m surprise he hasn&#39;t retired already with all this shit going on.
2022-07-17T02:30:14Z,vharid777,5028586,Bullish,$BTC.X 12 midnight count down
2022-07-17T02:30:11Z,BTFD_All_Day_Err_Day,3939333,Bullish,$BTC.X
2022-07-17T02:29:58Z,Officer_Doofy_Trades,6540207,Bearish,$BTC.X pumping all weekend and guess what tomorrow is? Dump day
2022-07-17T02:29:10Z,EmptyPockets1,5435029,NIL,$BTC.X Going up!!!!
2022-07-17T02:28:43Z,Seriesfinale,6148368,NIL,$BTC.X told you guys put the phone down &amp; don&#39;t worry... this CAN&#39;T stay below 21.2k
2022-07-17T02:28:07Z,STCKPRO,1555408,NIL,"$BTC.X NEW ARTICLE : For Bitcoin To Win, We Must Burn The Ships https://www.stck.pro/news/BTC.X/31315707"
2022-07-17T02:28:04Z,cryptohulk,6737785,Bullish,$BTC.X break 22 and we off to 28
2022-07-17T02:27:36Z,Mr_Binks_,6713018,NIL,$BTC.X need ya to break 22k tomorrow plz
