created_at,user_name,user_id,bear_bull_tag,text
2022-07-17T02:37:44Z,TradingMainCast,6560655,NIL,"$ETH.X After the shooting, the price stabilized. 
https://www.tradingmain.com/2022/03/ethereum.html"
2022-07-17T02:35:01Z,dreamchasers,3408882,NIL,$ADA.X  burn tax ready binance tweet coming $BTC.X $ETH.X $XRP.X $APE.X
2022-07-17T02:33:48Z,FullDegenerate,6252585,Bullish,$ETH.X are we replicating the candle that $ETC.X had?
2022-07-17T02:32:29Z,blackeagle7,6641050,Bullish,"$ETH.X 

I really don&#39;t get these bears!!!

We were focking at sub $800 literally couple of weeks ago!!

Why did not you buy it then?

What kind of losers are you?

Must be special kind !!!"
2022-07-17T02:30:22Z,nvolkstb,6748966,NIL,"$ETH.X 
 back to 4k"
2022-07-17T02:30:13Z,nvolkstb,6748966,NIL,"$ETH.X 
 time to sell. Fed raise rates again into a recession this is gonna hit hard"
2022-07-17T02:29:52Z,LoudPackInvestments,4674574,Bullish,$ETH.X $COMP.X $SPELL.X $AAVE.X bears
2022-07-17T02:28:16Z,randytime,2254153,Bullish,$ETH.X back to 4k
2022-07-17T02:28:07Z,STOCKRISING1,3657798,Bearish,$ETH.X time to sell. Fed raise rates again into a recession this is gonna hit hard
2022-07-17T02:23:20Z,achendye,6748962,NIL,"$BTC.X 
  
$ETH.X 
   
When global governments become dependent upon the tax revenues"
2022-07-17T02:23:13Z,achendye,6748962,NIL,"$ETH.X 
 back to 2k"
2022-07-17T02:21:13Z,achendye,6748962,NIL,"$ETH.X 
 Permanent 90% cut to supply"
2022-07-17T02:21:06Z,Hamtaro_,6333586,Bullish,$ETH.X back to 2k
2022-07-17T02:19:30Z,DJAK313,5810039,NIL,"$ETH.X Anything over 1k is too much for this. The merge date is still two months away.  
 
Next week historic rate hike will sink this under 1k. I’m a buyer at 700."
2022-07-17T02:19:28Z,achendye,6748962,NIL,"$ETH.X 
 all set . Got your order ready BEARS"
2022-07-17T02:18:21Z,CriticalThinking4Dummies,5950734,Bullish,"$ETC.X $BTC.X $ETH.X $SPY 

Short Inflation 

Short Oil Stocks 

Long  Tech Stocks and Crypto 

Thank me later"
