created_at,user_name,user_id,bear_bull_tag,text
2022-06-29T18:17:24Z,Billionaireclubcollc,1505519,NIL,Polkadot’s founder announces steps toward full decentralization with new governance model https://www.billionaireclubcollc.com/polkadots-founder-announces-steps-toward-full-decentralization-with-new-governance-model/  $DOT.X $ETH.X $BTC.X
2022-06-29T18:16:34Z,charlie_mack,6543928,Bearish,$ETH.X Y’all stupid trying to get you cerium to bullish state and push back a wine resistance the RSA is at 80 right now you’re not going far pal
2022-06-29T18:14:03Z,DevOpLerp,5906790,NIL,$ETH.X so now Hollywood is defunding the police?
2022-06-29T18:11:29Z,tuningin,254176,NIL,$ETH.X so many reasons to be bullish. So many reasons to be bearish. Tough to have any conviction here.
2022-06-29T18:10:50Z,rumneychel,6358556,Bullish,"$ETH.X $BTC.X should I chase the pumps 
Will it make me moneys"
2022-06-29T18:06:31Z,Bluben,1699159,Bullish,"$DOGE.X $LUNC.X  $ETH.X $BTC.X $SHIB.X 

Doge and Luna Break away i’m calling it,
I Believe in you! i’ve seen doge do it before in the old times! This is my prophecy!
💎📖💎"
2022-06-29T18:05:01Z,A76er76er,3265366,NIL,"$ETH.X price action is pretty weak and the res resistance line will hit very soon. I&#39;m guessing it goes to 1040 once it hits that red line. If bitcoin can clear that red line, it will likely fly higher."
2022-06-29T18:04:25Z,The__Warthog,6389310,Bearish,$ETH.X
2022-06-29T18:02:03Z,Billionaireclubcollc,1505519,NIL,"It’s time to refocus on crypto infrastructure, CoinShares CSO says https://www.billionaireclubcollc.com/its-time-to-refocus-on-crypto-infrastructure-coinshares-cso-says/  $COIN $BTC.X $ETH.X"
2022-06-29T17:53:11Z,StocksWithCam,5248069,Bullish,"$BTC.X $LUNC.X $UST.X $XRP.X $ETH.X 
   
BREAKING: CRYPTO IS DESTROYING SHADOWBANKS CAUSING BANKRUPTCY AFTER BANKRUPTCY 
 
https://youtu.be/8Da9xFCjq9c"
2022-06-29T17:51:55Z,Deep_Value_Crypto,6289096,Bullish,"$ZEC.X  price depressing i can barely meme for zcash anymore 
 
we need firework show from $BTC.X $ETH.X  for a good July 4th"
2022-06-29T17:50:59Z,ProfitablePiggg,1853481,Bearish,I think what’s gonna catch most crypto bulls by surprise is $BTC.X will be the first one to get absolutely annihilated before the $ETH.X $DOGE.X $LTC.X and others head to zero soon afterwards. Considering bitcoin the safe one out of all cryptos is like putting all your savings into a SPY out the money option  expiring in a month
2022-06-29T17:49:39Z,MoneyIsJustATool,3233459,Bullish,"$LUNC.X The epic run in the work.

Locked and loaded ===&gt; .0004

$DOGE.X $SHIB.X $ETH.X"
2022-06-29T17:49:16Z,Honeycombz11,3975552,Bearish,$ETH.X Getting cannibalized by BTC. Goes down twice as much on the way down but barely follows it on the way up.
